reel_id,title,caption,transcript,ocr_text,visual_description,content_language,language_confidence,programming_languages,technologies,frameworks,topics,category,intent,difficulty,duration_seconds,creator_id,created_at,quality_score,hype_score,learning_value,career_value,practical_value,entertainment_value
RL000001,Programming Language Updates update (2025),Latest in Programming Language Updates,"Here's how Data Science behaves at scale, and the trade-offs engineers make in production systems.",,Gaming setup with GPU comparison on screen,Kannada,0.98,,Kafka|Elasticsearch,,Technology News,tech_news,News,Advanced,45,CR000096,2025-01-15T13:12:36,0.633,0.185,0.155,0.18,0.632,0.245
RL000002,Gaming moment that broke the internet,Gaming content - just for laughs,"Here's how Data Science behaves at scale, and the trade-offs engineers make in production systems.",,Stadium crowd celebrating a goal/wicket,English,0.86,,,,Gaming,entertainment,Humor,Advanced,32,CR000065,2025-11-11T02:41:30,0.252,0.324,0.257,0.24,0.306,0.832
RL000003,Gaming moment that broke the internet,Gaming content - just for laughs,"Ee video lo manam Rust gurinchi chuddam. First, rust basics, then a quick example with real code.",,Movie clip montage with trending audio,Telugu-English,0.87,Rust,,,Gaming,entertainment,Entertainment,Intermediate,19,CR000055,2025-06-05T16:02:11,0.329,0.055,0.219,0.093,0.21,0.856
RL000004,Designing a Scalable Backend API: From Code to Cloud,Learn designing a scalable backend api: from code to cloud in under a minute,"Let's break down the basics of Generative AI step by step, starting from what it actually is.",,Two laptops side by side for a spec comparison,English,0.89,,,.NET,Frontend,tech_educational,Interview Preparation,Beginner,41,CR000093,2025-09-11T20:46:14,0.744,0.202,0.781,0.537,0.644,0.174
RL000005,Programming developers be like,POV: debugging Programming at 2am,When your Mobile Development code works on the first try but you have no idea why. Every developer knows this feeling.,,Two laptops side by side for a spec comparison,Kannada-English,0.93,,,,Software Engineering,programming_meme,Entertainment,Beginner,23,CR000091,2025-09-06T01:13:15,0.701,0.293,0.344,0.091,0.56,0.723
RL000006,You NEED to learn this or you'll be jobless by 2027,You NEED to learn this or you'll be jobless by 2027,Top secret AI trick recruiters don't want you to know,,Gaming setup with GPU comparison on screen,Kannada,0.93,,,,Career,hype,Motivation,Beginner,18,CR000088,2025-07-24T02:04:37,0.0,0.86,0.282,0.063,0.03,0.288
RL000007,C explained simply,Learn c explained simply in under a minute,"Let's break down the basics of C step by step, starting from what it actually is.",// C example,Laptop screen showing C code in an IDE,Telugu,0.8,C,,,Frontend,tech_educational,Project Help,Beginner,82,CR000088,2025-07-09T20:12:24,0.865,0.27,0.795,0.503,0.67,0.243
RL000008,Memes moment that broke the internet,Memes content - just for laughs,"Ee video alli navu HLD bagge nodona. First, hld basics, then a quick example with real code.",,Movie clip montage with trending audio,Kannada-English,0.94,,,,Memes,entertainment,Humor,Beginner,10,CR000087,2025-06-03T18:30:34,0.548,0.307,0.222,0.086,0.583,0.879
RL000009,Movies moment that broke the internet,Movies content - just for laughs,"Let's break down the basics of LLD step by step, starting from what it actually is.",,Movie clip montage with trending audio,English,0.82,,,,Movies,entertainment,Entertainment,Beginner,31,CR000005,2025-10-26T15:20:20,0.386,0.261,0.232,0.325,0.279,0.866
RL000010,Memes moment that broke the internet,Memes content - just for laughs,"Ee video alli navu Web Development bagge nodona. First, web development basics, then a quick example with real code.",,Movie clip montage with trending audio,Kannada-English,0.91,,,,Memes,entertainment,Humor,Beginner,77,CR000011,2025-02-21T15:33:17,0.815,0.154,0.11,0.195,0.612,0.867
RL000011,JavaScript explained simply,Learn javascript explained simply in under a minute,"If you're preparing for placements, don't just memorize JavaScript answers - understand how it actually works under the hood.",const res = await fetch('/api/data');,Split-screen code and output comparison,Kannada,0.81,JavaScript,,,Backend,tech_educational,Project Help,Intermediate,52,CR000030,2025-03-02T05:50:09,0.6,0.394,0.475,0.66,0.472,0.392
RL000012,Memes moment that broke the internet,Memes content - just for laughs,"Ee video lo manam Caching gurinchi chuddam. First, caching basics, then a quick example with real code.",,Stadium crowd celebrating a goal/wicket,Telugu-English,0.77,,,,Memes,entertainment,Entertainment,Beginner,12,CR000009,2025-06-23T09:07:56,0.768,0.084,0.232,0.095,0.64,0.827
RL000013,Java explained simply,Learn java explained simply in under a minute,"Let's break down the basics of Java step by step, starting from what it actually is.",,Whiteboard diagram explaining system architecture,English,0.89,Java,,,Backend,tech_educational,Project Help,Beginner,49,CR000074,2025-04-03T00:06:20,0.296,0.054,0.326,0.493,0.301,0.15
