interaction_id,user_id,reel_id,timestamp,session_id,watch_seconds,watch_percentage,liked,saved,shared,replayed,skipped,followed_creator
INT000001,U000001,RL000129,2025-04-06T07:41:20,SESS000001,19.5,27.1,0,0,0,0,0,0
INT000002,U000001,RL001360,2025-04-06T07:41:48,SESS000001,22.6,26.9,0,0,0,0,0,0
INT000003,U000001,RL004915,2025-04-06T07:42:25,SESS000001,21.5,52.4,0,0,0,0,0,0
INT000004,U000001,RL000658,2025-04-06T07:42:40,SESS000001,11.4,29.2,0,0,0,0,0,0
INT000005,U000001,RL004944,2025-04-06T07:43:41,SESS000001,43.1,48.9,0,0,0,0,0,0
INT000006,U000001,RL001765,2025-04-06T07:44:02,SESS000001,17.2,36.7,0,0,0,0,0,0
INT000007,U000001,RL000175,2025-04-06T07:44:23,SESS000001,18.8,43.8,0,0,0,0,0,0
INT000008,U000001,RL002855,2025-04-06T07:44:48,SESS000001,5.7,51.8,0,0,0,0,0,0
INT000009,U000001,CAND000525,2025-04-06T07:45:29,SESS000001,23.4,44.1,0,0,0,0,0,0
INT000010,U000001,RL002168,2025-11-02T06:05:22,SESS000002,38.7,46.7,0,0,0,0,0,0
INT000011,U000001,RL003336,2025-11-02T06:05:33,SESS000002,5.7,35.5,0,0,0,0,0,0
INT000012,U000001,RL002600,2025-11-02T06:06:05,SESS000002,17.8,63.4,0,0,0,0,0,0
INT000013,U000001,RL001107,2025-11-02T06:06:32,SESS000002,14.5,21.0,0,0,0,0,1,0
INT000014,U000001,RL002491,2025-11-02T06:07:21,SESS000002,43.1,52.6,0,0,0,0,0,0
INT000015,U000001,CAND000188,2025-11-02T06:07:35,SESS000002,6.6,20.1,0,0,0,0,1,0
INT000016,U000001,RL004329,2025-11-02T06:08:24,SESS000002,39.0,49.4,0,0,0,0,0,0
INT000017,U000001,RL000351,2025-01-23T12:40:17,SESS000003,31.5,47.7,0,0,0,0,0,0
INT000018,U000001,RL003154,2025-01-23T12:40:46,SESS000003,16.0,43.1,0,0,0,0,0,0
INT000019,U000001,RL001797,2025-01-23T12:41:21,SESS000003,21.7,46.2,0,0,0,0,0,0
INT000020,U000001,RL001044,2025-01-23T12:42:30,SESS000003,49.1,59.9,0,0,0,0,0,0
