entity_id,entity_name,entity_type
T0001,Python,programming_language
T0002,Java,programming_language
T0003,C,programming_language
T0004,C++,programming_language
T0005,C#,programming_language
T0006,JavaScript,programming_language
T0007,TypeScript,programming_language
T0008,Go,programming_language
T0009,Rust,programming_language
T0010,Kotlin,programming_language
T0011,Swift,programming_language
T0012,PHP,programming_language
T0013,Dart,programming_language
T0014,R,programming_language
T0015,SQL,programming_language
T0016,Scala,programming_language
T0017,Ruby,programming_language
T0018,React,framework
T0019,Angular,framework
T0020,Vue,framework
T0021,Spring Boot,framework
T0022,Django,framework
T0023,FastAPI,framework
T0024,Flask,framework
T0025,Express.js,framework
T0026,.NET,framework
T0027,Node.js,framework
T0028,TensorFlow,framework
T0029,PyTorch,framework
T0030,Next.js,framework
T0031,Svelte,framework
T0032,Laravel,framework
T0033,Ktor,framework
T0034,AWS,technology
T0035,Azure,technology
T0036,GCP,technology
T0037,Docker,technology
T0038,Kubernetes,technology
T0039,PostgreSQL,technology
T0040,MongoDB,technology
T0041,Redis,technology
T0042,Git,technology
T0043,Jenkins,technology
T0044,Terraform,technology
T0045,Linux,technology
T0046,Kafka,technology
T0047,GraphQL,technology
T0048,Nginx,technology
T0049,Elasticsearch,technology
T0050,DSA,concept
T0051,OOP,concept
T0052,APIs,concept
T0053,HLD,concept
T0054,LLD,concept
T0055,REST,concept
T0056,Microservices,concept
T0057,Distributed Systems,concept
T0058,System Design,concept
T0059,Databases,concept
T0060,Data Structures,concept
T0061,Algorithms,concept
T0062,Design Patterns,concept
T0063,Concurrency,concept
T0064,Memory Management,concept
T0065,Caching,concept
T0066,Load Balancing,concept
T0067,AI/ML,domain
T0068,Deep Learning,domain
T0069,Generative AI,domain
T0070,Cloud,domain
T0071,DevOps,domain
T0072,Cybersecurity,domain
T0073,Networking,domain
T0074,Web Development,domain
T0075,Mobile Development,domain
T0076,Backend,domain
T0077,Frontend,domain
T0078,Software Engineering,domain
T0079,Career,domain
T0080,Hardware,domain
T0081,Data Science,domain
T0082,Blockchain,domain
T0083,Software Engineering Best Practices,sub_topic
