user_id,true_primary_interest,true_secondary_interest,true_language_preference,true_skill_level
U000001,AI / Machine Learning,Deep Learning,Telugu,Beginner
U000002,Mixed Technology Interests,Java,Telugu,Advanced
U000003,Frontend / Web Development,JavaScript,English,Intermediate
U000004,Entertainment,Comedy,English,Intermediate
U000005,Backend Engineering,System Design,Hindi,Beginner
U000006,Mixed Technology Interests,Career,Malayalam,Intermediate
U000007,Mixed Technology Interests,Career,English,Advanced
U000008,Entertainment,Movies,English,Intermediate
U000009,Entertainment,Movies,Telugu,Intermediate
U000010,Entertainment,Movies,Malayalam,Intermediate
U000011,Cybersecurity,Linux,Telugu,Advanced
U000012,Backend Engineering,entertainment,English,Intermediate
U000013,Hardware / Developer Gear,GPUs,English,Advanced
U000014,AI / Machine Learning,Deep Learning,English,Intermediate
U000015,Mixed Technology Interests,Java,Telugu,Advanced
U000016,Mixed Technology Interests,DSA,Telugu,Beginner
U000017,Hardware / Developer Gear,Gaming,Tamil,Beginner
U000018,AI / Machine Learning,Deep Learning,Kannada,Advanced
U000019,Hardware / Developer Gear,GPUs,English,Intermediate
U000020,Hardware / Developer Gear,CPUs,English,Advanced
U000021,Frontend / Web Development,Web Development,English,Beginner
U000022,Mixed Technology Interests,Python,Hindi,Beginner
U000023,AI / Machine Learning,Generative AI,Telugu,Beginner
U000024,Backend Engineering,Java,Telugu,Beginner
U000025,Backend Engineering,Java,English,Advanced
U000026,Cybersecurity,Python,Telugu,Beginner
U000027,Mixed Technology Interests,AI/ML,English,Beginner
U000028,Backend Engineering,AWS,English,Beginner
U000029,AI / Machine Learning,AI/ML,English,Beginner
U000030,Mixed Technology Interests,Cybersecurity,Kannada,Beginner
U000031,Mixed Technology Interests,Python,Kannada,Beginner
U000032,Cybersecurity,Python,Tamil,Beginner
U000033,Hardware / Developer Gear,Hardware,English,Intermediate
U000034,Backend Engineering,Docker,Hindi,Intermediate
U000035,AI / Machine Learning,Deep Learning,Hindi,Intermediate
U000036,Entertainment,Sports,English,Intermediate
U000037,Hardware / Developer Gear,Laptops,English,Intermediate
U000038,AI / Machine Learning,Python,English,Intermediate
U000039,AI / Machine Learning,Deep Learning,Telugu,Beginner
U000040,Mixed Technology Interests,Python,Bengali,Advanced
U000041,Mixed Technology Interests,Career,Malayalam,Beginner
U000042,AI / Machine Learning,AI/ML,Hindi,Intermediate
U000043,Frontend / Web Development,UI/UX,English,Advanced
U000044,Entertainment,Comedy,English,Intermediate
U000045,Mixed Technology Interests,Career,Hindi,Intermediate
U000046,Mixed Technology Interests,Java,English,Beginner
U000047,Frontend / Web Development,UI/UX,Telugu,Beginner
U000048,AI / Machine Learning,Python,Telugu,Beginner
