reel_id,title,caption,transcript,ocr_text,visual_description,content_language,language_confidence,programming_languages,technologies,frameworks,topics,category,intent,difficulty,duration_seconds,creator_id,created_at,quality_score,hype_score,learning_value,career_value,practical_value,entertainment_value
CAND000001,Rust explained simply,Learn rust explained simply in under a minute,"Ee video alli navu Rust bagge nodona. First, rust basics, then a quick example with real code.",,Whiteboard diagram explaining system architecture,Kannada-English,0.89,Rust,Linux,,Cybersecurity,tech_educational,Curiosity,Beginner,65,CR000004,2025-01-13T23:27:12,0.795,0.086,0.771,0.441,0.788,0.354
CAND000002,Technical Interviews,Technical Interviews - what nobody tells you,"Let's break down the basics of Swift step by step, starting from what it actually is.",// R example,Terminal window running Swift commands,English,0.79,Swift|Scala|R,,,Career,career,Career,Beginner,53,CR000072,2025-08-14T11:08:01,0.788,0.129,0.272,0.678,0.667,0.319
CAND000003,Learn EVERYTHING about coding in 24 hours!,Learn EVERYTHING about coding in 24 hours!,10 AI tools that will GUARANTEE you a job in 2026!!!,,Person explaining AWS architecture using a whiteboard,English,0.85,,,,Career,hype,Promotion,Advanced,28,CR000040,2025-08-14T17:08:07,0.355,0.774,0.236,0.1,0.23,0.222
CAND000004,Cybersecurity News update (2025),Latest in Cybersecurity News,"Let's break down the basics of Blockchain step by step, starting from what it actually is.",,Neural network diagram with labeled layers,Malayalam,0.8,,Git|PostgreSQL,,Technology News,tech_news,News,Beginner,39,CR000022,2025-09-11T21:53:42,0.315,0.814,0.214,0.262,0.346,0.139
CAND000005,Ruby developers be like,POV: debugging Ruby at 2am,When your Ruby code works on the first try but you have no idea why. Every developer knows this feeling.,// Ruby example,Laptop screen showing Ruby code in an IDE,English,0.81,Ruby,,,Software Engineering,programming_meme,Entertainment,Intermediate,55,CR000082,2025-07-09T03:35:31,0.71,0.221,0.139,0.206,0.641,0.905
CAND000006,Go developers be like,POV: debugging Go at 2am,When your Go code works on the first try but you have no idea why. Every developer knows this feeling.,"func main() { fmt.Println(""hello"") }",Laptop screen showing Go code in an IDE,Kannada,0.86,Go,,,Software Engineering,programming_meme,Entertainment,Advanced,48,CR000089,2025-02-07T10:31:38,0.732,0.429,0.344,0.07,0.57,0.861
CAND000007,Movies moment that broke the internet,Movies content - just for laughs,"Let's break down the basics of C step by step, starting from what it actually is.",// C example,Stadium crowd celebrating a goal/wicket,Bengali,0.97,C,,,Movies,entertainment,Entertainment,Beginner,39,CR000001,2025-05-13T09:53:40,0.259,0.378,0.223,0.139,0.265,0.82
CAND000008,Swift explained simply,Learn swift explained simply in under a minute,"Let's break down the basics of Swift step by step, starting from what it actually is.",// Swift example,Laptop screen showing Swift code in an IDE,English,0.9,Swift|C++,Jenkins,Express.js,Hardware,tech_educational,Project Help,Beginner,46,CR000019,2025-10-07T13:47:19,0.653,0.084,0.583,0.467,0.575,0.268
CAND000009,How Load Balancers Actually Work,Learn how load balancers actually work in under a minute,"Aaj hum dekhenge ki PHP kaise kaam karta hai. First, php basics, then a quick example with real code.",// PHP example,Terminal window running PHP commands,Hindi-English,0.88,PHP,PostgreSQL|GraphQL,React,Generative AI,tech_educational,Learning,Intermediate,24,CR000066,2025-02-14T00:06:40,0.675,0.216,0.711,0.455,0.503,0.272
CAND000010,Design Patterns explained simply,Learn design patterns explained simply in under a minute,"Let's break down the basics of REST step by step, starting from what it actually is.",,Neural network diagram with labeled layers,English,0.8,,Git,Node.js,Web Development,tech_educational,Interview Preparation,Beginner,25,CR000025,2025-02-20T11:07:07,0.805,0.234,0.946,0.511,0.669,0.247
