user_id,persona,true_primary_interest,primary_language_pref,secondary_language_pref,skill_level,joined_at
U000001,ai_focused,AI / Machine Learning,Telugu,English,Beginner,2025-02-04T19:44:24
U000002,mixed_interest,Mixed Technology Interests,Telugu,Kannada,Advanced,2025-05-03T07:16:16
U000003,frontend_focused,Frontend / Web Development,English,Malayalam,Intermediate,2025-01-31T08:12:56
U000004,entertainment_heavy,Entertainment,English,Malayalam,Intermediate,2025-02-27T21:40:02
U000005,backend_focused,Backend Engineering,Hindi,English,Beginner,2025-02-05T07:22:47
U000006,mixed_interest,Mixed Technology Interests,Malayalam,Kannada,Intermediate,2025-05-02T19:19:22
U000007,mixed_interest,Mixed Technology Interests,English,Hindi,Advanced,2025-01-02T11:39:33
U000008,entertainment_heavy,Entertainment,English,Telugu,Intermediate,2025-04-12T09:03:41
U000009,entertainment_heavy,Entertainment,Telugu,Bengali,Intermediate,2025-05-14T14:30:04
U000010,entertainment_heavy,Entertainment,Malayalam,Hindi,Intermediate,2025-04-22T17:04:27
U000011,cybersecurity_focused,Cybersecurity,Telugu,Tamil,Advanced,2025-03-15T11:11:53
U000012,backend_focused,Backend Engineering,English,Hindi,Intermediate,2025-02-22T20:35:58
U000013,hardware_focused,Hardware / Developer Gear,English,Kannada,Advanced,2025-01-04T23:56:02
U000014,ai_focused,AI / Machine Learning,English,Tamil,Intermediate,2025-04-25T20:27:11
U000015,mixed_interest,Mixed Technology Interests,Telugu,Tamil,Advanced,2025-03-19T14:47:21
U000016,mixed_interest,Mixed Technology Interests,Telugu,Hindi,Beginner,2025-03-23T03:08:27
U000017,hardware_focused,Hardware / Developer Gear,Tamil,Telugu,Beginner,2025-03-29T22:08:25
U000018,ai_focused,AI / Machine Learning,Kannada,Malayalam,Advanced,2025-02-10T21:05:32
U000019,hardware_focused,Hardware / Developer Gear,English,Bengali,Intermediate,2025-04-12T00:19:16
U000020,hardware_focused,Hardware / Developer Gear,English,Kannada,Advanced,2025-01-02T09:24:50
U000021,frontend_focused,Frontend / Web Development,English,Hindi,Beginner,2025-05-16T22:02:36
U000022,mixed_interest,Mixed Technology Interests,Hindi,Kannada,Beginner,2025-05-11T05:54:13
U000023,ai_focused,AI / Machine Learning,Telugu,Bengali,Beginner,2025-02-27T16:59:26
U000024,backend_focused,Backend Engineering,Telugu,Bengali,Beginner,2025-05-19T07:11:22
U000025,backend_focused,Backend Engineering,English,Bengali,Advanced,2025-03-15T19:09:35
U000026,cybersecurity_focused,Cybersecurity,Telugu,Kannada,Beginner,2025-05-25T23:21:44
U000027,mixed_interest,Mixed Technology Interests,English,Kannada,Beginner,2025-01-13T08:54:06
U000028,backend_focused,Backend Engineering,English,Telugu,Beginner,2025-05-22T18:53:31
U000029,ai_focused,AI / Machine Learning,English,Kannada,Beginner,2025-02-13T21:53:56
U000030,mixed_interest,Mixed Technology Interests,Kannada,Malayalam,Beginner,2025-02-18T04:07:32
U000031,mixed_interest,Mixed Technology Interests,Kannada,Telugu,Beginner,2025-03-09T20:51:11
U000032,cybersecurity_focused,Cybersecurity,Tamil,Bengali,Beginner,2025-04-29T10:51:28
U000033,hardware_focused,Hardware / Developer Gear,English,Kannada,Intermediate,2025-03-05T15:32:49
U000034,backend_focused,Backend Engineering,Hindi,Telugu,Intermediate,2025-02-28T23:22:33
U000035,ai_focused,AI / Machine Learning,Hindi,Tamil,Intermediate,2025-01-22T15:18:50
U000036,entertainment_heavy,Entertainment,English,Kannada,Intermediate,2025-02-09T12:33:45
U000037,hardware_focused,Hardware / Developer Gear,English,Bengali,Intermediate,2025-01-16T01:12:38
U000038,ai_focused,AI / Machine Learning,English,Hindi,Intermediate,2025-01-11T08:02:33
U000039,ai_focused,AI / Machine Learning,Telugu,Tamil,Beginner,2025-01-21T02:05:26
U000040,mixed_interest,Mixed Technology Interests,Bengali,Kannada,Advanced,2025-02-12T22:55:07
U000041,mixed_interest,Mixed Technology Interests,Malayalam,Tamil,Beginner,2025-01-15T16:16:40
U000042,ai_focused,AI / Machine Learning,Hindi,Bengali,Intermediate,2025-05-03T11:01:15
U000043,frontend_focused,Frontend / Web Development,English,Kannada,Advanced,2025-05-08T23:09:41
U000044,entertainment_heavy,Entertainment,English,Hindi,Intermediate,2025-03-30T02:14:30
U000045,mixed_interest,Mixed Technology Interests,Hindi,Malayalam,Intermediate,2025-05-27T16:54:37
U000046,mixed_interest,Mixed Technology Interests,English,Telugu,Beginner,2025-01-15T06:05:07
U000047,frontend_focused,Frontend / Web Development,Telugu,English,Beginner,2025-04-16T02:38:20
U000048,ai_focused,AI / Machine Learning,Telugu,Malayalam,Beginner,2025-01-09T11:35:29
U000049,frontend_focused,Frontend / Web Development,English,Kannada,Intermediate,2025-05-13T21:59:31
U000050,backend_focused,Backend Engineering,Malayalam,Tamil,Intermediate,2025-04-18T09:25:48
U000051,mixed_interest,Mixed Technology Interests,Telugu,Kannada,Beginner,2025-03-21T02:36:29
U000052,ai_focused,AI / Machine Learning,Telugu,Bengali,Advanced,2025-03-28T09:55:41
U000053,backend_focused,Backend Engineering,Bengali,Telugu,Beginner,2025-04-22T07:08:24
