session_id,user_id,session_theme,start_time,end_time,reel_count,total_watch_seconds
SESS000001,U000001,entertainment_heavy,2025-04-06T07:40:56,2025-04-06T07:45:29,9,183.2
SESS000002,U000001,mixed_scroll,2025-11-02T06:04:25,2025-11-02T06:08:24,7,165.4
SESS000003,U000001,dsa_java_interview,2025-01-23T12:39:26,2025-01-23T12:43:55,7,182.8
SESS000004,U000001,ai_python,2025-04-21T01:11:36,2025-04-21T01:14:57,7,151.9
SESS000005,U000001,cybersecurity,2025-08-12T22:16:04,2025-08-12T22:18:30,5,97.2
SESS000006,U000002,entertainment_heavy,2025-07-23T11:49:43,2025-07-23T11:52:51,6,121.9
SESS000007,U000002,backend_cloud,2025-10-09T19:53:26,2025-10-09T19:55:03,4,74.1
SESS000008,U000002,entertainment_heavy,2025-01-18T14:29:05,2025-01-18T14:35:08,12,221.4
SESS000009,U000002,ai_python,2025-03-14T05:18:52,2025-03-14T05:21:41,4,137.7
SESS000010,U000002,gaming_hardware,2025-04-07T08:28:53,2025-04-07T08:31:30,6,77.4
SESS000011,U000003,ai_python,2025-09-06T10:50:57,2025-09-06T10:56:13,11,214.0
SESS000012,U000003,mixed_scroll,2025-10-31T05:45:48,2025-10-31T05:51:07,11,213.1
SESS000013,U000003,gaming_hardware,2025-11-26T09:38:00,2025-11-26T09:40:15,5,73.9
SESS000014,U000003,entertainment_heavy,2025-05-17T18:28:08,2025-05-17T18:33:20,10,206.7
SESS000015,U000003,backend_cloud,2025-03-05T05:40:06,2025-03-05T05:44:14,7,182.1
SESS000016,U000004,gaming_hardware,2025-08-28T12:58:57,2025-08-28T13:04:12,10,212.4
SESS000017,U000004,mixed_scroll,2025-11-11T09:58:31,2025-11-11T10:03:51,12,228.5
SESS000018,U000004,entertainment_heavy,2025-08-26T22:59:51,2025-08-26T23:05:47,11,243.9
SESS000019,U000004,mixed_scroll,2025-08-09T15:33:45,2025-08-09T15:39:33,8,228.9
SESS000020,U000004,cybersecurity,2025-10-28T03:13:27,2025-10-28T03:16:41,5,125.9
SESS000021,U000004,dsa_java_interview,2025-03-06T04:41:26,2025-03-06T04:48:03,10,261.1
SESS000022,U000004,gaming_hardware,2025-07-29T12:31:15,2025-07-29T12:36:09,9,196.2
SESS000023,U000004,ai_python,2025-11-10T21:46:38,2025-11-10T21:48:13,3,67.7
SESS000024,U000005,gaming_hardware,2025-06-29T00:41:25,2025-06-29T00:43:36,4,88.5
SESS000025,U000005,ai_python,2025-08-20T17:26:52,2025-08-20T17:28:34,3,66.4
SESS000026,U000005,dsa_java_interview,2025-03-16T03:07:25,2025-03-16T03:11:15,11,125.2
SESS000027,U000005,gaming_hardware,2025-05-04T21:07:51,2025-05-04T21:13:35,10,243.6
SESS000028,U000005,ai_python,2025-05-09T01:33:41,2025-05-09T01:36:33,6,76.8
SESS000029,U000005,gaming_hardware,2025-09-25T08:25:12,2025-09-25T08:26:41,4,46.3
SESS000030,U000005,dsa_java_interview,2025-06-14T15:04:33,2025-06-14T15:08:12,9,115.9
SESS000031,U000005,cybersecurity,2025-05-13T03:32:36,2025-05-13T03:37:35,10,190.4
SESS000032,U000006,backend_cloud,2025-05-07T20:55:45,2025-05-07T20:57:58,5,85.1
SESS000033,U000006,cybersecurity,2025-02-16T14:44:51,2025-02-16T14:46:21,3,38.8
SESS000034,U000006,gaming_hardware,2025-09-02T13:32:00,2025-09-02T13:35:55,10,168.0
SESS000035,U000006,backend_cloud,2025-01-09T09:25:26,2025-01-09T09:31:35,8,281.1
SESS000036,U000006,backend_cloud,2025-07-17T08:07:43,2025-07-17T08:10:35,7,114.2
SESS000037,U000006,entertainment_heavy,2025-04-17T10:19:02,2025-04-17T10:23:40,9,214.8
SESS000038,U000006,cybersecurity,2025-04-29T14:04:06,2025-04-29T14:08:58,9,186.3
SESS000039,U000006,cybersecurity,2025-01-11T00:38:50,2025-01-11T00:46:11,11,292.5
SESS000040,U000007,ai_python,2025-05-22T18:50:02,2025-05-22T18:55:53,8,231.0
SESS000041,U000007,mixed_scroll,2025-11-05T11:13:04,2025-11-05T11:19:23,9,269.2
SESS000042,U000007,entertainment_heavy,2025-11-25T05:19:34,2025-11-25T05:24:13,7,221.4
SESS000043,U000007,ai_python,2025-01-13T15:07:08,2025-01-13T15:13:20,11,268.5
SESS000044,U000007,backend_cloud,2025-05-28T15:17:31,2025-05-28T15:24:52,12,281.8
SESS000045,U000007,cybersecurity,2025-07-11T05:30:39,2025-07-11T05:33:06,3,111.1
SESS000046,U000007,dsa_java_interview,2025-03-07T14:51:36,2025-03-07T14:55:04,6,147.9
SESS000047,U000007,backend_cloud,2025-08-29T02:45:36,2025-08-29T02:47:06,3,51.0
